	A1004	Arecibo Observatory
	A1025	Saint Michael's College
	A1058	Florida International University
	A1072	American Astronomical Society
	A1118	Adler Planetarium
	A1135	Atmospheric & Space Technology Research Associates (ASTRA), San Antonio
	A1146	Space Science Institute 
	A1151	Palmer Divide Observatory
	A1159	Center for Backyard Astronomy
	A1161	Planetary Science Institute
	A1200	Malin Space Science Systems, San Diego
	A1206	Stanford Research Institute
	A1240	FOM, Institute for Plasma Physics
	A1242	Belgian Institute for Space Aeronomy
	A1245	Belgium Astronomical Association
	A1247	European Center for Geodynamics and Seismology
	A1269	Observatoire de Blauvac
	A1270	CSEM, Centre Suisse d'Electronique et de Microtechnique
	A1273	GANIL, Grand Accelerateur National d'Ions
	A1281	Institut Superieure de l'Aeronautique et de l'Espace
	A1285	SPACE X Exploration Institute
	A1290	ISSI, International Space Science Institute
	A1297	Swiss Federal Observatory, Zurich
	A1302	Norwegian Geological Society
	A1304	EISCAT, European Incoherent Scatter Scientific Association
	A1306	Atalaia Group Crow Observatory
	A1307	NUCLIO, Interactive Nucleus of Astronomy
	A1312	ASTER, Amateur Astronomers Association of Barcelona
	A1313	Fabra Observatory, Barcelona
	A1314	Esteve Duran Observatory, Barcelona
	A1315	Gualba Observatory, Barcelona
	A1327	Royal Spanish Naval Observatory
	A1330	Catalan Physics Society
	A1335	FRACTAL, SNLE
	A1338	Astronomical Society of Croatia
	A1341	Astronomical Society of Slovenia
	A1344	Isaac Newton Institute, Chile
	A1350	Hungarian Astronomical Association
	A1351	Bolyai Military University
	A1357	Bucharest Astroclub
	A1363	Stefanik's Observatory, Prague
	A1365	Copernicus Observatory, Brno
	A1367	Upice Observatory
	A1371	Polish Society of Amateur Astronomers
	A1372	Olsztyn Astronomical Observatory
	A1374	Chorzow Astronomical Observatory
	A1381	Observatoire Cantonal de Neuchatel
	A1390	EGO, European Gravitational Observatory, Pisa
	A1402	EURAC, European Academy of Bolzano
	A1412	Astronomical Observatory of Aosta
	A1413	Talmassons Observatory
	A1414	Geological Observatory of Coldigioco
	A1415	Campo Catino Astronomical Observatory
	A1416	ECT, European Center for Theoretical Studies in Nuclear Physics
	A1419	ISI, Institute for Scientific Interchange, Torino
	A1420	Bellatrix Astronomical Observatory
	A1430	Hellenic Military Academy
	A1433	Cyprus College
	A1441	Odessa National Maritime University
	A1451	Belarus State University, Minsk
	A1453	Astronomical Geodesical Society of Minsk
	A1458	Samarkand State University
	A1460	Georgia Technical University, Tbilisi
	A1461	MEPhI, Moscow Engineering Physics Institute
	A1466	EAAS, Eurasian Astronomical Society
	A1468	Khrunichev State Research and Production Space Center
	A1469	Korolev Energia Space Rocket Corporation
	A1470	State Committee of Standards, Moscow
	A1471	Central Aerological Observatory, Dolgoprudnyi
	A1472	Rostov State Pedagogical University
	A1484	German Academy of Sciences, Potsdam
	A1486	Potsdam Meteorological Observatory
	A1487	International Meteor Organization
	A1489	Archenhold Observatory, Berlin
	A1490	BAV, West German Variable Star Observers
	A1491	Max Born Institute for Nonlinear Optics
	A1508	Michael Adrian Observatory, Trebur
	A1517	Geological Survey of Iran
	A1518	Astronomy and Space Research Center, Baghdad
	A1519	Nepal Astronomical Society
	A1521	Philippine Atmospheric Geophysical and Astronomical Services Administration
	A1524	Center for Volcanology and Geohazards, Indonesia
	A1525	BAKOSURTANAL, Indonesia
	A1534	Thailand Center of Excellence in Physics
	A1535	VATLY Institute for Nuclear Science and Technology
	A1543	Nikola Tesla University
	A1546	Assam Science Society, India
	A1548	Government New Science College, India
	A1549	Indian Institute of Physics
	A1550	Nuclear Science Center, New Delhi
	A1559	Radio Research Laboratory, Korea
	A1561	Korea Astronomy Observatory
	A1573	Beijing Planetarium
	A1577	Variable Star Observers League of Japan
	A1598	Kobe Science Museum, Japan
	A1615	Japan Spaceguard Association
	A1630	Japan Space Utilization Promotion Center
	A1640	Gunma Astronomical Observatory, Japan
	A1643	Toyoma Science Museum, Japan
	A1644	Geo Research Institute, Osaka, Japan
	A1645	Osaka Science Museum, Osaka, Japan
	A1646	ALPO, Association for Lunar and Planetary Observers, Japan
	A1647	Misato Astronomical Observatory, Japan
	A1648	Hamanowa Astronomical Observatory, Japan
	A1649	Itagaki Astronomical Observatory, Japan
	A1654	Royal Astronomical Society of New Zealand
	A1655	DSIR, Department of Scientific and Industrial Research, New Zealand
	A1656	Carter Observatory, New Zealand
	A1657	Auckland Observatory
	A1664	Australian Atomic Energy Commission
	A1678	Perth Observatory
	A1680	Sydney Observatory Museum
	A1681	Hunters Hill Observatory
	A1682	AGSO, Australian Geological Survey Organisation
	A1683	Mars Society
	A1684	Australian Bureau of Mineral Resources
	A1685	Australian Museum Sydney
	A1690	SKA, Square Kilometre Array
	A1696	Center for Hydrologic Research, Cameroon
	A1697	Montserrat Volcano Observatory
	A1699	INETER, National Institute for Territorial Studies, Nicaragua
	A1700	Supernova Ltd, British Virgin Islands
	A1701	SPACE, Seminario Permanente de Astronomia y Ciencias
	A1709	Rosario Planetarium and Astronomical Observatory
	A1716	SPACE, San Pedro de Atacama Celestial Explorations
	A1739	Armagh Observatory
	A1750	Canadian Center for Remote Sensing
	A1751	CERCA, Canadian Emergency Response Contractor's Alliance
	A1752	SNOLAB
	A1756	Scottish Universities Research and Reactor Center
	A1786	Nagano National College of Technology, Japan
	A1800	Environmental Research Institute of Michigan
	A1804	American Science and Engineering
	A1810	Interferometrics, Inc.
	A1811	Computational Physics, Inc.
	A1812	Eureka Scientific
	A3003	FINCA, Finnish Centre for Astronomy
	A3005	Swedish Space Corporation
	A3009	EURATOM, European Atomic Energy Community
	A3022	Uppsala Ionospheric Observatory 
	A3023	Icarus Research Inc
	A3024	GATS Inc
A1048	A1165	US Naval Observatory, Flagstaff
A1058	A1059	Florida International University, SARA Observatory
A1146	A1147	Space Science Institute, Cassini Imaging Central Laboratory for Operations
A1153	A1149	National Oceanic and Atmospheric Administration, Boulder, Space Weather Prediction Center
A1271	113461	LSCE, Laboratoire des Sciences du Climat et de l'Environnement
A1271	130008	IPSL, LERMA, Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
A1271	A1280	IPSL, LATMOS, Laboratoire Atmospheres Milieux Observations Spatiales
A1309	A1310	IAC, La Palma Observatories
A1309	A1311	IAC, Tenerife Observatory
A1344	A1343	Isaac Newton Institute of Chile, Belgrade
A1344	A1440	Isaac Newton Institute of Chile, Crimean Branch
A1344	A1462	Isaac Newton Institute of Chile, Russia
A3009	A1373	Institute of Plasma Physics and Laser Microfusion, Warsaw
	1004	Aalborg University
	1006	Aarhus University
1006	123250	Aarhus University, Institute for Physics and Astronomy
1006	86966	Aarhus University, Institute for Geoscience
	1018	Robert Gordon University
	1019	University of Aberdeen
1019	A1755	SUPA, Scottish Universities Physics Alliance
	1023	United States Army
1023	40737	US Army Corps of Engineers
1023	47654	Army Research Laboratory Aberdeen Proving Ground
1023	58217	Army Research Laboratory, Adelphi MD
1023	172344	US Army Research Office, Research Triangle Park, NC
	1026	Aberystwyth University
1026	151346	Aberystwyth University, Institute of Geography and Earth Sciences
1026	151350	Aberystwyth University, Institute of Mathematics and Physics
	1032	Hardin-Simmons University
	1033	McMurry University
	1040	Abo Akademi University
	1044	Ohio Northern University
	1057	South Australian Museum
	1065	Flinders University
	1066	University of Adelaide
1066	A1673	University of Adelaide, School of Physics
1066	A1674	University of Adelaide, School of Earth and Environmental Sciences
	1067	University of South Australia
1068	223100	University of Maryland, Department of Chemistry
1068	248497	University of Maryland, Department of Atmospheric and Oceanic Science
1068	248530	University of Maryland, Department of Physics
1068	248531	University of Maryland, Department of Astronomy
1068	88968	Institute for Physical Science and Technology, UMD College Park
1068	A1045	Center for Research and Exploration in Space Science & Technology
	1069	University System of Maryland
1069	1068	University of Maryland, College Park
1069	12265	University of Maryland, Baltimore County
	1074	US Department of Energy
1074	6865	Pacific Northwest National Laboratory
	1085	State University of New York System
1085	1084	SUNY Albany
1085	12292	SUNY Buffalo
1085	12301	SUNY Stony Brook
1085	14625	SUNY Adirondack
1085	14787	SUNY Binghamton
1085	14788	SUNY Brockport
1085	14792	SUNY Canton
1085	14795	SUNY Cobleskill
1085	14800	SUNY Cortland
1085	14801	SUNY Delhi
1085	14805	SUNY Farmingdale
1085	14808	SUNY Fredonia
1085	14811	SUNY Geneseo
1085	14821	SUNY New Paltz
1085	14825	SUNY Oneonta
1085	14828	SUNY Oswego
1085	14829	SUNY Plattsburgh
1085	14830	SUNY Potsdam
1085	14840	SUNY Purchase
	1097	US Department of Agriculture
	1098	Albion College
	1104	University of New Mexico
1104	A1172	University of New Mexico, Department of Physics and Astronomy
1104	A1173	University of New Mexico, Department of Earth and Planetary Sciences
	1105	Sandia National Laboratories
1105	A1214	Sandia National Laboratories, Livermore
	1109	Charles Sturt University
	1132	Alfred University
	1139	Abilene Christian University
	1142	Grand Valley State University
	1146	Cedar Crest College
	1150	Alma College
	1166	University System of Georgia
1166	1165	Georgia Southwestern State University
1166	124314	Skidaway Institute of Oceanography
1166	1355	University of Georgia
1166	1372	Georgia Institute of Technology
1166	1373	Georgia State University
1166	15609	Southern Polytechnic University
1166	15612	Clayton State University
1166	15614	Valdosta State University
1166	15617	Kennesaw State University
1166	2291	University of West Georgia
1166	2634	Columbus State University
1166	32193	University of North Georgia
	1177	Iowa State University
1177	A1110	Iowa State University, Department of Physics and Astronomy
	1180	Amherst College
1180	A1027	Five College Radio Astronomy Observatory
	1183	Hampshire College
1183	A1027	Five College Radio Astronomy Observatory
	1190	Vrije Universiteit Amsterdam
1190	416511	Vrije Universiteit Amsterdam, Department of Earth Sciences
1190	A1237	Vrije Universiteit Amsterdam, Department of Physics and Astronomy
	1234	Universiteit van Amsterdam
1234	226185	Universiteit van Amsterdam, Institute of Physics
1234	A1238	Universiteit van Amsterdam, Astronomical Institute Anton Pannekoek
	1259	University of Michigan, Ann Arbor
1259	14711	University of Michigan, Dearborn
1259	14712	University of Michigan, Flint
1259	242913	University of Michigan, Ann Arbor, Department of Physics
1259	A1079	University of Michigan, Ann Arbor, Department of Astronomy
1259	A1080	University of Michigan, Ann Arbor, Radio Astronomy Observatory
1259	A1081	University of Michigan, Ann Arbor, Space Physics Research Laboratory
1259	A1082	University of Michigan, Ann Arbor, Department of Atmospheric Oceanic and Space Sciences
1259	A1083	University of Michigan, Ann Arbor, Department of Geological Sciences
	1260	US Environmental Protection Agency
1260	138030	US Environmental Protection Agency, Research Triangle Park
	1263	Bard College
	1268	Saint Johns College, Annapolis
	1270	Saint Francis Xavier University, Canada
	1279	Lawrence University
	1286	California State University System
1286	10695	California State University, Sacramento
1286	1285	Humboldt State University
1286	14662	California State University, Bakersfield
1286	14663	California State University, Chico
1286	14665	California State University, Fresno
1286	14666	California State University, Fullerton
1286	14667	California State University, Hayward
1286	14668	California State University, Long Beach
1286	14669	California State University, Los Angeles
1286	14670	California State University, Monterey Bay
1286	14671	California State University, Northridge
1286	14672	California State University, San Bernardino
1286	14673	California State University, San Marcos
1286	14674	California State University, Turlock
1286	14702	California State University, Dominguez Hills
1286	6647	California State Polytechnic University
1286	6960	Sonoma State University
